restaurant,cuisine_type,location,price_level,rating,review_count
Jawi House Cafe Gallery,"Malaysian,Arabic,Vegetarian Friendly","85 Armeniam Street, George Town, Penang Island 10200 Malaysia",2,4.5,665
Bistro Tang,"Cafe,Asian,Fusion","82-A Penang Street, George Town, Penang Island 10200 Malaysia",2,4.5,247
Edelweiss Cafe,"Swiss,Vegetarian Friendly","38 Armeniam Street, George Town, Penang Island 10200 Malaysia",2,4.5,294
Living Room Cafe Bar & Gallery,"International,Asian,Fusion","43 C Batu Ferringhi, Batu Ferringhi, Penang Island 11100 Malaysia",2,4.5,1697
Mews Cafe,"Cafe,Asian,Nonya/Malaysian","77 Lebuh Muntri, George Town, Penang Island 10200 Malaysia",2,4.5,1190
Tek Sen Restaurant,"Malaysian,Vegetarian Friendly,Vegan Options","18 Lebuh Carnarvon, George Town, Penang Island 10100 Malaysia",2,4.5,1582
Feringgi Grill,"European,Vegetarian Friendly,Vegan Options","Jalan Batu Ferringi Shangri-La's Rasa Sayang Resort and Spa, Batu Ferringhi, Penang Island 11100 Malaysia",3,4.5,488
Boatman Restaurant,"Chinese,Asian,Malaysian","No. 46, Batu Ferringhi, Penang Island Malaysia",1,4.5,312
US Pizza,"Italian,American,Pizza","3D Lorong Delima Greenlane, George Town, Penang Island 11700 Malaysia",2,5,160
Enca Cafe & Restaurant,"Indian,Asian,Malaysian","Jalan Batu Feringghi, Batu Ferringhi, Penang Island 11100 Malaysia",1,4.5,425
Lavish,"Cafe,Fusion,Vegetarian Friendly","214, Lebuh Victoria, Penang Island 10300 Malaysia",2,4.5,1537
D'Loovi's,"Bar,Asian,Pub","24, Lebuh Melayu, George Town, Penang Island 10100 Malaysia",2,5,93
Helena's Cafe,"Asian,Nonya/Malaysian,Malaysian","43B Jalan Batu Ferringhi opp Yahong Gallery, Batu Ferringhi, Penang Island 11100 Malaysia",2,4.5,793
Heritage Artisans,"Chinese,Asian,Contemporary","53 Jalan Padang Victoria, George Town, Penang Island 10400 Malaysia",3,5,151
20 Chulia Lane Cafe,"Fusion,Healthy,Nonya/Malaysian","20 Lorong Chulia, George Town, Penang Island 10200 Malaysia",2,5,124
Pinxin Vegan Cuisine,"Cafe,Asian,Fusion","38, Lebuh Tye Sin, George Town, Penang Island 10300 Malaysia",2,4.5,153
What the Duck Restaurant Penang,Asian,"40 Jalan Nagore, George Town, Penang Island 10050 Malaysia",2,4.5,234
Puree Juice,"Cafe,International,Asian","6, Lebuh Ah Quee, Penang Island 10300 Malaysia",1,5,60
Bite N Eat Dindigul Biriyani,"Indian,Asian,Vegetarian Friendly","43 Penang Street, George Town, Penang Island 10200 Malaysia",2,4.5,388
WHEELER'S,"Cafe,Fusion,Healthy","67 Jalan Love Lane, George Town, Penang Island 10200 Malaysia",2,4.5,582
Rubin Mardini Cafe Restaurant,"Lebanese,Mediterranean,Turkish","Jalan Batu Ferringhi No 591, Batu Ferringhi, Penang Island 11100 Malaysia",1,5,99
The Book Sandwich Cafe,"International,Vegetarian Friendly","217 Lebuh Pantai, George Town, Penang Island 10300 Malaysia",2,4.5,300
Ivy's Nyonya Cuisine,"Asian,Nonya/Malaysian,Malaysian","58 Jln Chow Thye, George Town, Penang Island 10250 Malaysia",2,4.5,495
Yeap Noodles,"Chinese,Asian,Malaysian","No. 227 Chulia Street 10200 Georgetown, Penang Island Malaysia",1,4.5,325
Il Bacaro,"Italian,Pizza,Grill","Campbell House,106 Campbell Street Georgetown, Penang Island 10100 Malaysia",2,4.5,508
Long Beach,"Chinese,Indian,Asian","Batu Feringgi Beach, Batu Ferringhi, Penang Island 11100 Malaysia",1,4.5,2864
The Spice Market Cafe,"International,Asian,Malaysian","Jalan Batu Ferringhi Batu Feringgi Beach, Batu Ferringhi, Penang Island 11100 Malaysia",2,4.5,515
Auntie Gaik Lean's,"Asian,Nonya/Malaysian,Malaysian","No.1, Bishop Street, Penang Island 10200 Malaysia",2,4.5,241
Via Pre Italian Restaurants,"Italian,Mediterranean,Tuscan","20e, Lebuh Penang, George Town, Penang Island 10200 Malaysia",2,4.5,385
DEEN MAJU,"Indian,Asian,Malaysian","170 Jalan Gurdwara, George Town, Penang Island 10300 Malaysia",1,4.5,215
Malaya,"Indian,Asian,Malaysian","153F, Jalan Hutton, George Town, Penang Island 10050 Malaysia",2,5,66
Ferringhi Garden Restaurant,"Chinese,Asian,Central European","34 A, B & C, Jalan Batu, Penang Island 11100 Malaysia",2,4.5,2063
The Leaf Healthy Recipes,"Asian,Diner,Healthy","No. 5 Lebuh Penang 10200, George Town, Penang Island 10200 Malaysia",2,,0
HYGGE Dining & Bar,"European,Asian,Vegetarian Friendly","58, Jalan Kuala Kangsar Near the penang art, George Town, Penang Island 10450 Malaysia",1,5,70
Olive Kitchen + Bar,"Indian,Bar,Pub","3J Jalan Penang, George Town, Penang Island 10000 Malaysia",2,4,302
Guan Guan Cafe,"Chinese,Asian,Malaysian","Jalan Batu Ferringhi, Batu Ferringhi, Penang Island 11100 Malaysia",1,4,379
Three Sixty Revolving Restaurant Skybar,"Bar,Asian,Malaysian","Three Sixty Revolving Restaurant Skybar 25-A Lebuh Farquhar George Town, Penang Island 10200 Malaysia",2,4,329
Ayer Itam Penang Assam Laksa,"Asian,Malaysian","Jalan Pasar Ayer Itam, Penang Island Malaysia",1,4,355
Makan Kitchen,"Asian,Malaysian,Vegetarian Friendly","56 Jalan Low Yat Lower Ground Floor of DoubleTree Resort by Hilton Penang, Batu Ferringhi, Penang Island 11100 Malaysia",2,4.5,187
Woodlands Vegetarian Restaurant,"Indian,Asian,Vegetarian Friendly","60 Lebuh Penang, George Town, Penang Island 10200 Malaysia",1,4,427
Mr. Shawerma,"Middle Eastern,Vegetarian Friendly,Vegan Options","Lebuh Chulia 273a, George Town, Penang Island 10200 Malaysia",1,4.5,116
Miami Cafe,"Bar,Cafe,Asian","19 Batu Ferringhi Road, Penang Island 11100 Malaysia",1,,0
Bean Sprout Cafe,"American,Cafe,British","35 Jalan Masjid Kapitan Keling, Penang Island 10200 Malaysia",2,4.5,92
Emily's Steakhouse Penang,"Steakhouse,British","89, Muntri Street, George Town, Penang Island 10300 Malaysia",2,4,186
Ferringhi Coffee Garden,"Cafe,International,Vegetarian Friendly","43-D Batu Ferringhi 11100, Penang Island Malaysia",2,4.5,190
Sri Weld Food Court,"Asian,Malaysian","Lebuh Pantai Colonial District, George Town, Penang Island Malaysia",1,4,111
The Jetty Food Court,"Chinese,Asian,Malaysian","49-F Pengkalan Weld, George Town, Penang Island Malaysia",1,4,132
Urban Daybreak,"Cafe,Vegetarian Friendly,Vegan Options","338 Lebuh Pantai, George Town, Penang Island 10300 Malaysia",2,4.5,137
Smokepapa BBQ,"American,Southwestern,Fast food","41 Lebuh Bishop, George Town, Penang Island 10200 Malaysia",1,5,43
Mish Mash,"Bar,European,Pub","24 Lebuh Muntri, George Town, Penang Island 10200 Malaysia",2,4.5,170
Moh Teng Pheow Nyonya Koay Penang,"Asian,Nonya/Malaysian,Malaysian","Lebuh Chulia Entrance on Jalan Masjid, Off Chulia Street, George Town, Penang Island 10200 Malaysia",2,4,204
Yeng Keng Cafe,"Chinese,Cafe,Asian","36, Chulia Street, George Town, Penang Island Malaysia",2,4,183
Kedai Kopi Ho Ping,"Chinese,Asian,Malaysian","Jalan Kampung Malabar Off Penang Road, George Town, Penang Island 10100 Malaysia",1,4.5,98
Viva Local Food Haven,"Asian,Malaysian","Jalan Tanjong Tokong, Tanjung Tokong, Penang Island 10470 Malaysia",1,4,123
The Brick Cafe,"German,Cafe,Asian","17, Seck Chuan Lane, George Town, Penang Island 10200 Malaysia",1,4.5,63
Maple Palace Restaurant,"Chinese,Asian,Cantonese","47 Jalan Sultan Ahmad Shah 10050, George Town, Penang Island 10050 Malaysia",2,4,121
Kim Haus,"Italian,American,Bar","9 Campbell Street, George Town, Penang Island 10100 Malaysia",2,4,169
Foong Wei Heong Restaurant,"Chinese,Asian,Cantonese","Sri Bahari Road, George Town, Penang Island Malaysia",2,4,152
Awesome Canteen at Sekeping Victoria,"Japanese,American,Cafe","164 Lebuh Victoria Sekeping Victoria, George Town, Penang Island 10300 Malaysia",2,4,166
Teels Heritage Cafe,"Cafe,Asian,Vegetarian Friendly","144-G H Burmah Rd, George Town, Penang Island 10050 Malaysia",2,4.5,67
Sarkies Corner,"International,Asian,Malaysian","10 Lebuh Farquhar Chinatown, George Town, Penang Island 10200 Malaysia",2,4,401
Kimberly Street Koay Chiap,"Chinese,Asian,Malaysian","Kimberly Street, George Town, Penang Island 10200 Malaysia",1,4,216
Din Tai Fung @ Penang Gurney Plaza,"Chinese,Asian,Taiwanese","Lot B1-05C, Basement 1 Penang Gurney Plaza, George Town, Penang Island 10250 Malaysia",2,4.5,113
Soul Cafe,"Italian,Cafe,European","12 Jalan Kek Chuan, George Town, Penang Island 10400 Malaysia",2,4,144
Viva Victoria,"European,Asian,Fusion","169 Lebuh Victoria, George Town, Penang Island 10300 Malaysia",2,4.5,50
Beach Cafe,"Cafe,Asian,Malaysian","Jalan Batu Ferringhi Batu Ferringhi Beach, Batu Ferringhi, Penang Island 11100 Malaysia",1,4.5,90
Siam Road Charcoal Char Koay Teow,"Asian,Malaysian","Siam Road Off Jalan Anson, George Town, Penang Island 10400 Malaysia",1,4,135
Gusto Cafe,"Cafe,International,Vegetarian Friendly","4 Jalan Sungai Kelian Tanjung Bunga 11200, Penang Island 11200 Malaysia",2,4.5,145
No.11 Specialty Restaurant,Fusion,"11, Jalan Teluk Bahang, Teluk Bahang, Penang Island 11050 Malaysia",,5,45
Bali Hai Seafood Market,"Chinese,Seafood,Asian","Bali Hai Seafood Market Bali Hai Seafood Market 90 Persiaran Gurney, Penang Island 10250 Malaysia",2,4,421
Let's Meat,"American,Cafe,Diner","18 Lebuh Lembah Permai 4, Tanjung Bungah, Penang Island 11200 Malaysia",2,4.5,80
Antarabangsa Enterprise,,"21 Lorong Stewart Behind the Goddess of Mercy Temple, George Town, Penang Island 10200 Malaysia",1,4.5,54
Winn's Cafe,Malaysian,"2 Irrawady Road Georgetown, Penang Island 10250 Malaysia",2,4.5,73
Chulia Court,"Bar,Vegetarian Friendly","355 Lebuh Chulia, George Town, Penang Island 10200 Malaysia",2,4,213
DeHappy Seafood Restaurant,"Chinese,Seafood,Asian","58 Macalister Opposite BSN Bank Macalister Road, George Town, Penang Island 10400 Malaysia",2,4,259
The View,"French,European,Gluten Free Options","1 Jalan Bukit Jambul Hotel Equatorial Penang, Bayan Lepas, Penang Island 11900 Malaysia",3,4.5,74
Fu Er Dai,"Chinese,Asian,Cantonese","7 Jalan Sultan Ahmad Shah, George Town, Penang Island 10050 Malaysia",2,4,60
Planters Lounge,"International,Asian","10 Lebuh Farquhar Eastern & Oriental Hotel, 6th floor, George Town, Penang Island 10200 Malaysia",2,4.5,72
Thali NR Sweets Cafe,"Indian,Asian,Vegetarian Friendly","Thali NR Sweets Cafe 75 Penang Street Georgetown Little India, Penang Island 10200 Malaysia",1,4,130
Teakadai Cafe,"Cafe,Vegetarian Friendly","No. 68,, George Town, Penang Island Malaysia",2,5,29
Hameed Pata Special Mee,"Asian,Malaysian,Halal","Jalan Tun Syed Sheh Barakbah, George Town, Penang Island 10200 Malaysia",1,4,91
Two Buns Penang,"Quick Bites,American,Fast food","177 Lebuh Carnarvon (Corner unit of intersection between Carnarvon Street and Lebuh Melayu), George Town, Penang Island 10100 Malaysia",2,4.5,75
Li Er Cafe,"Cafe,Asian,Malaysian","349 Jalan Burma, George Town, Penang Island 10350 Malaysia",2,4.5,46
Tan Sam Guan Seafood,"Chinese,Seafood,Asian","Batu Ferringi Road in the lane between Golden Sands Resort and Lone Pine Hotel, Penang Island Malaysia",1,5,56
Narrow Marrow,"Cafe,Malaysian","312 Lebuh Pantai Heritage Shop Lot Untouched Facade in Worn Off White., George Town, Penang Island 10300 Malaysia",2,4.5,62
Sarkies,"Asian,Vegetarian Friendly","Sarkies 10 Lebuh Farquhar, Penang Island 10200 Malaysia",2,4,109
"I Love You, Cafe Batu Ferringhi","Chinese,Seafood,Asian","Jalang Batu Ferringhi, Batu Ferringhi, Penang Island Malaysia",1,4,170
The Hillside,"Cafe,European,Fusion","No 3 Jalan Sungai Kelian, Tanjung Bungah, Penang Island 11120 Malaysia",2,4,136
Monaliza bar-restaurant,"Bar,Asian,Malaysian","369 Lebuh Chulia, George Town, Penang Island Malaysia",1,4,80
The Mermaid Cafe.Ikan Bakar,"Dessert,Cafe,Seafood","86b&C Lorong Macalister, George Town, Penang Island 10400 Malaysia",1,5,29
Gudang Cafe,"Japanese,American,Cafe","5 Gat Lebuh Armenian, George Town, Penang Island 10300 Malaysia",2,4.5,74
Arte Restaurant Penang,"French,European,Fusion","25 Jalan Argyll, George Town, Penang Island 10050 Malaysia",2,4.5,80
Old Green House Prawn Mee,"Chinese,Malaysian","223 Jalan Burma, George Town, Penang Island 10500 Malaysia",1,4,103
David Brown's Restaurant and Tea Terraces,"European,British,Vegetarian Friendly","David Brown's Restaurant and Tea Terraces Lot 400 Daerah Bart Daya 17 Mk Strawberry Hill, Bukit Bendera, Ayer Itam, Penang Island 11300 Malaysia",2,3.5,323
Super Tanker Food Centre ( Food Center),"Chinese,Asian,Malaysian","Jalan Nipah, Bayan Lepas, Penang Island 11900 Malaysia",1,4,69
Lily's Vegetarian Kitchen,"Asian,Malaysian,Vegetarian Friendly","98 Lorong Madras, George Town, Penang Island 10400 Malaysia",1,4.5,88
Kafe Kheng Pin,"Asian,Malaysian","80 Jalan Penang, George Town, Penang Island 10000 Malaysia",1,4,95
Miraku Restaurant,"Japanese,Sushi,Asian","G Hotel Gurney Drive, George Town, Penang Island Malaysia",2,4,110
Baa Baa Black Sheep,"Cafe,Grill,Vegetarian Friendly","8A Jalan Tanjung Bungah Penang, Malaysia, George Town, Penang Island 11200 Malaysia",2,4.5,57
Urban Spice Cafe,"Chinese,Cafe,Asian","12A Lebuh Lembah Permai 4, George Town, Penang Island 10200 Malaysia",2,,0
Thong Thai Fusion Restaurant,"Asian,Thai,Vegetarian Friendly","59 Lebuh Cintra, Penang Island 10100 Malaysia",2,5,27
Home Style Restaurant,"Chinese,Asian","2 Lebuh Lembah Permai 4 Permai 32, George Town, Penang Island 11200 Malaysia",2,4,51
Crc Chinese Restaurant Sdn Bhd,"Chinese,Asian,Cantonese","22 Pangkor Road Penang, Penang Island 10500 Malaysia",2,4.5,40
Kedai Kopi Seng Thor,"Chinese,Asian,Malaysian","160 Lebuh Carnavon St, Penang Island Malaysia",1,4,64
Yong Pin Restaurant,"Chinese,Asian,Cantonese","11-C Jalan Sungai Ujong, George Town, Penang Island Malaysia",1,4,63
CREAM by ChinChin,European,"140 Jalan Pintal Tali, George Town, Penang Island 10100 Malaysia",2,4.5,27
Cinnamon Asian Kitchen,"International,Barbecue,Asian","PARKROYAL Penang Resort, Batu Ferringhi, Penang Island 11100 Malaysia",2,4.5,31
Little Kitchen,"Asian,Nonya/Malaysian,Malaysian","179 Lebuh Noordin, George Town, Penang Island 10300 Malaysia",2,4,126
Deluxious Spa & Restaurant,Contemporary,"17A Jalan Sultan Ahmad Shah, George Town, Penang Island 10050 Malaysia",2,4,56
Presgrave St. Hawker Stalls (3rd Rd.),"Chinese,Asian,Malaysian","67-D Lebuh Presgrave, George Town, Penang Island 10300 Malaysia",1,4.5,58
Aki Pancake,"Fast food,Asian,Malaysian","Super Tanker Food Court, Lin Sin Garden, Penang Island Malaysia",1,4.5,36
Yun Shan Ge Vegetarian House,"Chinese,Asian,Malaysian","16, Penang Street, George Town, Penang Island Malaysia",2,4.5,35
Khuntai Restaurant Penang,"Seafood,Asian,Thai","1052 Mk 9 Pasir Belanda, Bayan Lepas, Penang Island 11920 Malaysia",2,4,71
Restoran Tajuddin Hussain,"Indian,Asian,Malaysian","51 Lebuh Queen, George Town, Penang Island 10200 Malaysia",1,4,59
Yue Ping Bean Sprout Chicken,"Chinese,Asian,Malaysian","66 & 68 Lebuh Kimberley, George Town, Penang Island 10100 Malaysia",1,4.5,28
Farquhar's Bar,"Bar,Pub,Vegetarian Friendly","Farquhar's Bar Farquhar's Bar Eastern and Oriental Hotel, Penang Island 11200 Malaysia",2,4,130
"Gravity, Rooftop Bar, G Kelawai, Penang","Bar,Pub","2 Persiaran Maktab G Hotel Kelawai, George Town, Penang Island 10250 Malaysia",2,4,81
Vintage Bulgaria Restaurant & Bar,,,2,4,112
Dragon-i,"Chinese,Asian,Cantonese","Persiaran Bayan Indah, Sungai Nibong, Penang Island Malaysia",2,4,52
Kek Seng Cafe,"Chinese,Asian,Malaysian","383 Jalan Penang Chinatown, George Town, Penang Island Malaysia",1,4,89
218 Hainan Lor Mee,"Chinese,Asian,Street Food","218, Jalan Burma Opposite Wisma Perkeso, Penang, Penang Island 10350 Malaysia",1,4.5,24
Garden Cafe,"Japanese,International,European","152B Jalan Batu Ferringhi Golden Sands Resort, Shamrock Beach, Penang Island 11100 Malaysia",2,4,137
Areca Cafe,"European,Asian,Fusion","No.27, Jalan Khoo Sian Ewe Areca Hotel, Penang Island 10500 Malaysia",2,4.5,26
Sungai Pinang Food Court,"Asian,Malaysian","Jalan Sungai Pinang Jelutong Highway, Penang Island Malaysia",1,4,60
Ee Beng Vegetarian Food,"Asian,Malaysian,Vegetarian Friendly","20 Lebuh Dickens Chinatown, George Town, Penang Island 10050 Malaysia",1,4,70
Harvest In Cafe,"Cafe,Asian,Vegetarian Friendly","Harvest In Cafe 10 Jalan Irrawaddy, Penang Island 10050 Malaysia",2,4,68
Chin Chin Gastropub,"Bar,Contemporary,Pub","25G Lintang Burma Pulau Tikus, George Town, Penang Island 10250 Malaysia",2,4.5,43
Kopitan at Armenian St Heritage Hotel,"Asian,Greek,Malaysian","139-1-01 Armeniam Street Lebuh Carnarvon, George Town, Penang Island 10200 Malaysia",2,4,79
The Little Nyonya Cuisine,"Asian,Nonya/Malaysian,Malaysian","170-B1-32B, Plaza Gurney Persiaran Gurney, Penang Island Malaysia",2,3.5,134
Restoran Sup Hameed,"Indian,Asian,Soups","48 Jln Penang Chinatown, George Town, Penang Island Malaysia",1,3.5,159
Nasi Kandar Deen,"Asian,Malaysian","Jalan Jelutong, George Town, Penang Island Malaysia",1,4,39
L Kitchen ,"Chinese,Asian,Vegetarian Friendly","170 - 172 Campbell Street, George Town, Penang Island 10100 Malaysia",1,4.5,39
Beach Corner Seafood,"Chinese,Seafood,Asian","72D, Batu Ferringhi, Batu Ferringhi, Penang Island 11100 Malaysia",2,3.5,160
The Hilltop Thai Restaurant,"Chinese,Seafood,Asian","Lot 239, Permadangan Indah 6 Jalan Tun Sardon, Balik Pulau, Penang Island 11000 Malaysia",2,4,46
Ayer Itam Sister Curry mee,"Chinese,Asian,Malaysian","Jalan Air Itam, Penang Island 11500 Malaysia",1,4,41
Aji Noren Japanese Restaurant,"Japanese,Asian","98-G-35, Prima Jalan Fettes, George Town, Penang Island 11200 Malaysia",2,4.5,43
PISA Corner Cafe,"Chinese,Japanese,Southwestern","Opposite of Penang International Sport Arena, Penang Island Malaysia",1,4.5,28
Roast & Bake Cafe and Dessert,Cafe,"473 Chulia Street, George Town, Penang Island 10200 Malaysia",1,4.5,22
The Bungalow,"Asian,Malaysian","Lone Pine Hotel, Batu Ferringhi, Penang Island 11100 Malaysia",2,3.5,196
Veloo Villas,"Indian,Asian,Vegetarian Friendly","Penang Lane, George Town, Penang Island Malaysia",1,4,77
"behind 50,love lane","Asian,Malaysian","Love Lane, George Town, Penang Island 10450 Malaysia",2,4.5,39
Daorae Korean BBQ Restaurant,"Barbecue,Asian,Korean","No. 104 Jalan Tanjung Tokong, Penang Island 11200 Malaysia",2,4,64
Potters Place,Cafe,"53 Lebuh Acheen 53,Lebuh Acheh, George Town, Penang Island 10200 Malaysia",2,5,15
Ocean Green Seafood Restaurant,Malaysian,"Jalan Sultan Ahmad Shah, George Town, Penang Island Malaysia",2,3.5,221
Saigon Bowl,"Asian,Vietnamese,Healthy","20a&B Whiteaways Arcade Lebuh Pantai, George Town, Penang Island 10300 Malaysia",1,4.5,42
Blue Vegan Restaurant,"Asian,Fusion,Healthy","15, Lebuh Tye Sin 3 minutes away from 1st Avenue Mall, 5 minutes from Hin Bus deport & 10 minutes from Penang Ferry, George Town, Penang Island 10300 Malaysia",2,4.5,18
Claypot Restaurant,"Chinese,Asian,Malaysian","48 Jalan Sungei, Tanjung Bungah, Penang Island 11200 Malaysia",2,4.5,30
Nasi Kandar Pokok Ketapang,"Indian,Asian,Malaysian","38 Lorong Hutton, George Town, Penang Island 10050 Malaysia",1,4,43
Bocadillos Restaurant & Bar,"Indian,Asian,Malaysian","98 Lebuh Armenian, George Town, Penang Island 10200 Malaysia",2,5,13
Red Chopsticks,"Chinese,Asian,Thai","Jalan Tun Dr Awang 1-1-5, Ideal Avenue, Penang Island 11900 Malaysia",1,5,15
nada lama,"American,Seafood,International","1 Jalan Bukit Jambul Hotel Equatorial Penang, Bayan Lepas, Penang Island 11900 Malaysia",2,5,16
Kedai Makanan Lidiana,"Asian,Malaysian,Vegetarian Friendly","Tanjung Bungah, Penang Island 11200 Malaysia",1,4.5,28
No Eyed Deer,"International,Asian,Malaysian","98-1-26 Prima Tanjung, Jalan Fettes, Tanjung Tokong,, George Town, Penang Island 11200 Malaysia",2,4,68
Barry's Cafe,"Italian,Cafe,Asian","27 Lebuh Bishop, George Town, Penang Island 10200 Malaysia",2,4.5,23
Shanur Restaurant,"Indian,Seafood,Middle Eastern","58-B Jalan Batu Ferringhi, Batu Ferringhi, Penang Island 11100 Malaysia",1,5,18
Mizi Bistro,"European,Asian,Malaysian","102-D-6, New World Swatow Lane, George Town, Penang Island 10050 Malaysia",2,4,66
Merlin Hotel Nasi Kandar,"Asian,Malaysian","1A, Lebuh Union Downstairs of Merlin Hotel, Penang Island 10200 Malaysia",1,4.5,35
Kafe Ping Hooi,"Chinese,Asian,Malaysian","Kafe Ping Hooi 179 Carnavon Street, Penang Island 10300 Malaysia",1,4,62
Ah Chui Seafood,"Chinese,Seafood,Asian","Ah Chui Seafood Ah Chui Seafood Ah Chui Seafood 1238-T Jalan Paya Terubong, Penang Island 11060 Malaysia",2,4,41
TOKMA Malay Kitchen,"Asian,Fusion,Malaysian","249 Lebuh Kimberley, George Town, Penang Island 10100 Malaysia",1,5,13
Roti Bakar Hutton Lane,"Malaysian,Vegetarian Friendly,Vegan Options","300 Jalan Phee Choon, George Town, Penang Island 10050 Malaysia",1,4,40
Bella Italia,"Italian,Pizza,European","Lorong Pulau Tikus, George Town, Penang Island 10350 Malaysia",2,4,90
Leong Kee Tim Sum Restaurant,"Chinese,Asian,Cantonese","61 Lebuh Kimberley, George Town, Penang Island 10100 Malaysia",1,4,38
Minah Restaurant,"Asian,Malaysian,Vegetarian Friendly","Jalan Sultan Azlan Shah Sungai Gelugor, George Town, Penang Island 11700 Malaysia",2,4.5,33
Flip Burger Queensbay Mall,"Quick Bites,American,Fast food","100 Persiaran Bayan Indah 3F-07, 3rd Floor, North Zone, Queensbay Mall, Bayan Lepas, Penang Island 11900 Malaysia",2,5,16
"Kannichikan Yakiniku Restaurant - Tanjung Tokong, Penang","Japanese,Barbecue,Asian","Jalan Tanjung Tokong 1st Floor, Blok 125, George Town, Penang Island 11200 Malaysia",2,4.5,23
B@92 Eat &Drink,"Bar,Asian,Pub","92 Church Street, George Town, Penang Island Malaysia",2,4.5,50
Brussels Beer Cafe,"Belgian,Bar,European","Persiaran Gurney, George Town, Penang Island 10250 Malaysia",2,4,85
Living Room - Macalister Mansion,"Cafe,Deli","228 Macalister Road, George Town, Penang Island 10400 Malaysia",2,4,71
BBQ Nights,"Barbecue,Asian,Middle Eastern","72 D Batu Ferringhi Beach, Penang Island Malaysia",2,4,91
Blue Reef Fish & Chips Straits Quay,"Seafood,Gluten Free Options","Straits Quay, 3A-G-20 Ground Floor, Blue Reef Fish & Chips Straits Quay Jalan Seri Tanjung Pinang 10470 Tanjung Tokong,Penang, Penang Island 10470 Malaysia",2,3.5,151
Fishing Village Seafood,"Seafood,Asian,Malaysian","756, Mk-2 Telok Bahang, Penang Island 11050 Malaysia",2,4,73
Hai Wei Seafood Restaurant,"Chinese,Seafood,Asian",Penang Island 11300 Malaysia,2,4,26
"Yi Bin, 'The Mansion of Tea Art'","Chinese,Asian,Malaysian","106-C Jalan Hutton, George Town, Penang Island Malaysia",2,5,19
Easy Brew,"Cafe,Vegan Options","145 -147 Beach Street, George Town, Penang Island 10300 Malaysia",2,4,40
Chilli Mee at Prestige,"Chinese,Asian,Malaysian","unit 1, Prestige Hotel Arcade, George Town, Penang Island 10300 Malaysia",2,5,13
Zhu Yuan Vegetarian Restaurant,"Chinese,Asian,Malaysian","90 Jalan Dr Lim Chwee Leong, George Town, Penang Island 10100 Malaysia",2,4.5,57
Fa-laugh-Ely,"Fast food,Middle Eastern","361, Chulia Street Located at The Original Reggae Club, George Town, Penang Island 10200 Malaysia",1,5,16
